concept,qualifier,context,type
time,takeoff,flight,time
ribbon,,opening,time
pause,,break,time
takeoff,,flight,time
sprint,,run,time
time,departure,train schedule,time
time,lunch,dining schedule,time
time,start,event,time
driveway,,street,time
performance,,audition,time
time,appointment,doctor appointment,time
route,,trail,time
captain,,piloting,time
date,tagging,marine mammal research,date
date,reservation,reservation,date
date,meeting,meeting,date
date,conference,astronomy conferences,date
date,appointment,appointment,date
date,completion,training,date
date,due,bill,date
deadline,,project,date
date,commencement,commencement,date
date,maintenance,maintenance,date
date,workshop,workshop,date
date,consultation,consultation,date
date,hire,employee,date
date,acquisition,contemporary art acquisitions,date
date,checkup,checkup,date
date,award,grant,date
date,interview,anthropology field notes,date
date,event,ceremonial gatherings,date
date,harvest,harvest,date
date,completion,task,date
date,surgery,surgery,date
date,session,session,date
date,booking,booking,date
date,auction,auction,date
date,expiration,warranty,date
date,expiry,certification,date
date,conference,conference,date
date,diagnosis,diagnosis,date
date,opening,opening,date
date,parade,festival schedules,date
date,launch,campaign,date
date,start,subscription,date
date,competition,robotics contests,date
date,review,review,date
date,notification,notification,date
date,dispatch,dispatch,date
date,evaluation,evaluation,date
date,deployment,deployment,date
date,disbursement,loan,date
date,collection,collection,date
date,invoice,invoice,date
date,shipment,shipment,date
date,defense,thesis defenses,date
date,appraisal,gemstone evaluations,date
date,launch,launch,date
date,order,order,date
date,renewal,renewal,date
date,visit,visit,date
date,join,membership,date
date,billing,billing,date
date,issue,license,date
date,submission,application,date
date,event,event,date
date,exhibition,exhibit,date
date,launch,product,date
date,session,therapeutic session notes,date
date,return,return,date
date,analysis,analysis,date
date,agreement,agreement,date
date,claim,reimbursement,date
date,due,task,date
date,milestone,milestone,date
date,backup,backup,date
date,installation,renewable energy projects,date
date,recertification,certification,date
date,registration,registration,date
date,check,check,date
date,release,release,date
date,publication,publication,date
date,promotion,promotion,date
date,listing,housing,date
date,enrollment,enrollment,date
date,exam,examination,date
date,audit,audit,date
date,payment,payment,date
date,forecast,forecast,date
date,certification,certification,date
date,survey,survey,date
date,approval,pharmaceutical approvals,date
date,installation,installation,date
date,release,scientific software updates,date
pattern,weather,season,enumeration
type,connection,network connection,enumeration
country,,location,enumeration
type,institution,education,enumeration
industry,,job,enumeration
type,hobby,hobby,enumeration
type,phone,phone,enumeration
gender,,person,enumeration
type,train,railway,enumeration
level,career,career,enumeration
level,privacy,social media post,enumeration
type,activity,cultural activity,enumeration
type,connection,communication,enumeration
difficulty,,game,enumeration
type,climate,season,enumeration
type,service,property maintenance,enumeration
type,seat,seating arrangement,enumeration
genre,,book,enumeration
level,degree,education,enumeration
level,grade,school,enumeration
type,role,volunteer role,enumeration
type,form,government form,enumeration
form,art,art,enumeration
category,product,retail product,enumeration
level,priority,service,enumeration
format,compression,media file,enumeration
urgency,task,operational task,enumeration
size,,fashion,enumeration
method,training,training,enumeration
result,test,medical test,enumeration
type,os,computer,enumeration
genre,game,game,enumeration
type,game,game,enumeration
service,delivery,delivery,enumeration
denomination,,religious,enumeration
type,diet,animal,enumeration
language,,communication,enumeration
level,difficulty,lesson,enumeration
info,allergen,food item,enumeration
type,support,service,enumeration
method,cooking,cuisine,enumeration
group,age,toy,enumeration
medium,,art,enumeration
requirement,light,plant,enumeration
mode,player,game,enumeration
capacity,passenger,transport,enumeration
type,signal,communication,enumeration
type,tool,tool,enumeration
type,db,database,enumeration
type,listing,housing listing,enumeration
type,design,graphic design,enumeration
region,,news article,enumeration
city,,location,enumeration
type,provider,healthcare provider,enumeration
type,allergy,health,enumeration
system,operating,device,enumeration
type,pet,pets,enumeration
style,,furniture,enumeration
type,policy,insurance,enumeration
type,cuisine,recipe,enumeration
platform,,game,enumeration
brand,,product,enumeration
type,beverage,beverage,enumeration
type,store,retail store,enumeration
category,activity,festival activity,enumeration
type,fuel,vehicle,enumeration
terrain,,landform,enumeration
type,scholarship,education,enumeration
religion,,religious,enumeration
style,art,art piece,enumeration
type,restriction,dietary plan,enumeration
equipment,,hobby,enumeration
type,garden,garden,enumeration
type,element,web page element,enumeration
type,transaction,retail transaction,enumeration
type,patent,intellectual property,enumeration
status,,device,enumeration
type,commuter,commuter service,enumeration
type,transaction,finance,enumeration
region,currency,currency,enumeration
type,media,communication,enumeration
type,account,finance,enumeration
type,event,astronomy event,enumeration
type,instrument,musical instrument,enumeration
type,meal,meal,enumeration
season,,weather,enumeration
material,,furniture,enumeration
type,land,land,enumeration
size,,clothing,enumeration
category,product,product,enumeration
type,blood,patient,enumeration
type,cuisine,cuisine,enumeration
type,animal,pet,enumeration
condition,book,library book,enumeration
type,device,device,enumeration
type,weather,weather,enumeration
level,access,service,enumeration
material,,fashion,enumeration
type,shipping,parcel,enumeration
diet,,animal,enumeration
era,,fashion,enumeration
size,audience,event,enumeration
type,currency,payment,enumeration
type,package,travel package,enumeration
type,employment,job,enumeration
genre,game,video game,enumeration
model,license,software,enumeration
type,game,sports game,enumeration
language,,programming task,enumeration
type,season,season,enumeration
dimension,,theoretical physics,enumeration
period,historical,art,enumeration
transmission,,vehicle,enumeration
type,procedure,healthcare procedure,enumeration
medium,,painting,enumeration
pattern,color,fashion,enumeration
color,,fruit,enumeration
type,fixture,lighting fixture,enumeration
type,plan,subscription,enumeration
species,,animal,enumeration
status,order,order,enumeration
class,energy,appliance,enumeration
type,household,household,enumeration
brand,,gadget,enumeration
class,seat,flight,enumeration
type,landform,landform,enumeration
taste,,fruit,enumeration
type,case,legal case,enumeration
type,furniture,furniture,enumeration
type,vehicle,transportation,enumeration
cover,cloud,weather report,enumeration
level,satisfaction,survey response,enumeration
type,software,software,enumeration
tariff,,electricity provider,enumeration
currency,,finance,enumeration
type,club,hobby,enumeration
type,chain,supply chain,enumeration
mode,transport,transport,enumeration
type,fashion,fashion,enumeration
type,festival,festival,enumeration
type,material,print material,enumeration
type,event,event,enumeration
type,energy,transport,enumeration
level,access,application,enumeration
habitat,,animal,enumeration
era,,archaeology,enumeration
mode,color,image,enumeration
type,venue,event,enumeration
type,building,building,enumeration
type,network,communication,enumeration
type,skill,hobby,enumeration
type,account,account,enumeration
size,pet,pets,enumeration
type,subscription,service,enumeration
genre,,entertainment,enumeration
size,screen,gadget,enumeration
type,license,software,enumeration
type,crypto,cryptocurrency,enumeration
type,exam,exam,enumeration
type,content,digital content,enumeration
type,blood,health,enumeration
level,spice,cuisine,enumeration
function,job,job,enumeration
method,payment,transaction,enumeration
ecosystem,,landform,enumeration
format,,entertainment,enumeration
type,equipment,office equipment,enumeration
level,humidity,weather,enumeration
level,skill,hobby,enumeration
type,course,culinary event,enumeration
breed,,pets,enumeration
type,property,real estate,enumeration
hours,daylight,season,enumeration
type,subscription,magazine,enumeration
type,audience,entertainment,enumeration
type,flora,season,enumeration
type,lock,lock,enumeration
type,service,service,enumeration
type,file,file,enumeration
status,marital,person,enumeration
level,cholesterol,healthcare record,float
output,water,energy consumption,float
space,floor,real estate data,float
capacity,load,civil engineering data,float
usage,fertilizer,agricultural data,float
efficiency,engine,automobile engine,float
density,,chemical data,float
viscosity,oil,petrochemical analysis,float
viscosity,oil,petroleum data,float
usage,gas,energy consumption,float
value,caloric,food data,float
stretch,fabric,fashion design,float
score,accuracy,psychological test,float
content,protein,nutritional value analysis,float
torque,,automobile data,float
amplitude,,music data,float
saturation,color,fashion design,float
power,engine,automobile data,float
time,response,psychological test,float
factor,risk,insurance data,float
speed,current,marine data,float
count,step,fitness data,float
moisture,soil,agricultural data,float
cost,material,construction data,float
value,property,real estate data,float
rate,interest,finance transaction,float
amount,carbohydrate,nutritional value analysis,float
power,electric,energy consumption,float
angle,joint,robotics testing,float
repeat,pattern,fashion design,float
rate,exchange,financial data,float
rate,respiration,health data,float
level,water,environmental data,float
speed,current,marine observation,float
travelled,distance,transport data,float
level,stress,psychological test,float
rate,frame,video analysis,float
cost,unit,manufacturing data,float
mass,,physical data,float
rate,unemployment,economics data,float
speed,,transport data,float
duration,workout,fitness data,float
depth,,seismic activity,float
lift,,aerospace data,float
loss,packet,network data,float
consumption,fuel,transport data,float
strength,signal,telecom data,float
content,sulfur,petrochemical analysis,float
amount,transaction,finance transaction,float
heat,reaction,chemical experiment,float
rate,engagement,social media data,float
gpa,,educational data,float
rate,production,manufacturing data,float
speed,avg,transportation analysis,float
density,pixel,video analysis,float
content,sugar,culinary experiment,float
time,ping,gaming data,float
ph,soil,environmental study,float
humidity,,sensor data,float
activity,enzyme,biological research,float
value,monetary,art valuation,float
rate,discount,retail data,float
index,uv,environmental study,float
viscosity,,chemical experiment,float
duration,,media data,float
coefficient,drag,aerospace data,float
rate,exchange,finance transaction,float
salinity,water,marine observation,float
pressure,,weather data,float
factor,recovery,petroleum data,float
margin,profit,retail data,float
molarity,,chemical data,float
longitude,,geo data,float
torque,,automobile engine,float
rate,heart,health data,float
redshift,,astronomy data,float
rate,bounce,user engagement,float
latitude,,geo data,float
power,horse,automobile engine,float
speed,orbital,space mission,float
usage,data,telecom data,float
height,building,construction data,float
amount,rainfall,agriculture yield,float
tempo,,music production,float
life,battery,robotics testing,float
rate,fps,gaming performance,float
frequency,,music data,float
health,battery,electric vehicle,float
level,ph,biological research,float
redshift,,astronomical observation,float
volume,precipitation,meteorological modeling,float
rate,tax,retail data,float
luminosity,,astronomical observation,float
parallax,,astronomy data,float
density,traffic,transportation analysis,float
size,file,media data,float
bitrate,,media data,float
latency,,network data,float
score,savory,food and beverage testing,float
pressure,blood,bio data,float
tempo,,music data,float
hours,labor,construction data,float
point,boiling,petroleum data,float
density,,material science,float
brightness,star,astronomy data,float
temperature,,weather data,float
temperature,,sensor data,float
amount,snowfall,weather data,float
frequency,,music production,float
conductivity,thermal,material science,float
magnitude,,seismic activity,float
temperature,cooking,culinary experiment,float
level,spice,culinary experiment,float
altitude,,geo data,float
velocity,,physical data,float
resolution,,gaming data,float
efficiency,fuel,transportation analysis,float
amount,rainfall,weather data,float
bandwidth,,network data,float
capacity,load,construction project,float
rate,frame,gaming data,float
rate,bit,video analysis,float
salinity,,marine data,float
humidity,,weather data,float
ping,,gaming performance,float
temperature,body,bio data,float
speed,wind,weather data,float
rate,premium,insurance data,float
speed,wind,meteorological modeling,float
reach,,social media data,float
rate,discount,sales data,float
sweetness,,food and beverage testing,float
height,wave,marine data,float
power,thrust,space mission,float
price,product,sales data,float
content,caloric,nutritional value analysis,float
rate,gst,sales data,float
saturation,oxygen,health data,float
decibels,,music production,float
number,octane,petrochemical analysis,float
rate,growth,social media data,float
rate,conversion,user engagement,float
efficiency,fuel,automobile data,float
size,land,real estate data,float
pressure,,sensor data,float
strength,yield,material science,float
duration,call,telecom data,float
strain,,civil engineering data,float
temperature,gpu,gaming performance,float
duration,session,user engagement,float
content,fat,food data,float
height,wave,marine observation,float
weight,molecular,chemical experiment,float
rate,defect,manufacturing data,float
rate,inflation,economics data,float
stress,,civil engineering data,float
level,cholesterol,medical data,float
price,stock,financial data,float
thrust,,aerospace data,float
score,exam,educational data,float
content,protein,food data,float
growth,gdp,economics data,float
acceleration,,physical data,float
population,,record,integer
grade,,student,integer
episode,,record,integer
score,,game,integer
ranking,,record,integer
population,,city,integer
round,,record,integer
chapter,,record,integer
year,,record,integer
salary,,record,integer
age,,person,integer
season,,record,integer
isbn,,record,integer
count,,record,integer
score,,record,integer
level,,record,integer
edition,,record,integer
manufacturer,,vehicle,string
title,course,education,string
time,,event,string
range,salary,job,string
date,publication,document,string
genre,,game,string
species,,zoo,string
currency,,payment,string
phoneme,,linguistics,string
phone,,restaurant,string
name,first,person,string
title,,book,string
name,,pet,string
name,bank,account,string
model,aircraft,flight,string
description,temperature,weather,string
color,,vehicle,string
name,company,job,string
name,airline,flight,string
department,,course,string
gender,,person,string
title,,person,string
name,librarian,library,string
material,,furniture,string
format,document,document,string
industry,,company,string
developer,,software,string
state,,city,string
author,,book,string
name,product,technology,string
model,,vehicle,string
airport,arrival,flight,string
address,email,contact,string
profile,linkedin,contact,string
publisher,,book,string
method,cultivation,plant,string
date,release,movie,string
category,,app,string
location,,event,string
name,recipe,recipe,string
email,,user,string
configuration,seat,flight,string
name,course,course,string
type,vehicle,vehicle,string
name,software,software,string
minor,,student,string
timezone,,city,string
species,,plant,string
city,,address,string
type,furniture,furniture,string
number,account,account,string
description,location,store,string
description,location,festival,string
address,work,contact,string
status,order,order,string
website,,restaurant,string
method,payment,payment,string
title,game,game,string
name,company,technology,string
name,customer,order,string
airline,,flight,string
major,,student,string
location,,job,string
responsibilities,,job,string
advisor,,student,string
date,,event,string
id,payment,payment,string
suffix,,person,string
platform,,game,string
genre,,music,string
type,store,store,string
name,product,product,string
barcode,,product,string
keywords,,document,string
direction,wind,weather,string
company,production,film,string
airport,departure,flight,string
name,app,app,string
name,member,membership,string
number,serial,device,string
name,section,library,string
qualifications,,job,string
name,vet,pet,string
id,student,student,string
type,industry,company,string
initial,middle,person,string
title,job,job,string
name,event,event,string
method,payment,order,string
username,,user,string
description,transaction,finance,string
instructor,,course,string
handle,twitter,contact,string
description,menu,restaurant,string
country,,address,string
breed,,pet,string
genre,,movie,string
founders,,company,string
name,author,document,string
color,,furniture,string
title,document,document,string
name,store,store,string
format,,book,string
state,,address,string
version,,app,string
name,album,music,string
method,shipping,order,string
version,,software,string
name,city,city,string
name,professor,education,string
location,headquarter,company,string
name,trainer,fitness,string
name,chef,recipe,string
name,animal,zoo,string
address,home,contact,string
name,journalist,news,string
type,style,fashion,string
developer,,app,string
type,habitat,zoo,string
name,owner,pet,string
type,animal,pet,string
number,fax,contact,string
name,company,company,string
type,,festival,string
genre,,book,string
name,editor,news,string
name,payer,payment,string
type,cuisine,restaurant,string
category,,product,string
name,device,device,string
type,currency,account,string
director,,film,string
source,,document,string
name,designer,fashion,string
code,postal,address,string
name,innovation,technology,string
plate,registration,vehicle,string
date,expiry,membership,string
name,last,person,string
name,exercise,fitness,string
system,operating,device,string
id,membership,membership,string
name,recipient,payment,string
id,order,order,string
headline,,news,string
condition,weather,weather,string
name,branch,account,string
category,product,product,string
number,phone,contact,string
organization,,membership,string
type,account,finance,string
name,plant,plant,string
population,,city,string
name,disease,medical,string
era,,history,string
name,university,student,string
year,graduation,student,string
title,program,fitness,string
website,,app,string
address,shipping,order,string
code,area,city,string
style,cuisine,recipe,string
city,departure,flight,string
nickname,,person,string
role,,user,string
title,,movie,string
name,restaurant,restaurant,string
language,,movie,string
name,street,address,string
type,account,account,string
type,employment,job,string
host,,event,string
platforms,supported,app,string
period,warranty,device,string
producer,,movie,string
plate,license,vehicle,string
address,billing,order,string
number,model,product,string
number,model,device,string
name,medication,medical,string
name,collection,fashion,string
established,year,company,string
description,,event,string
description,product,product,string
sector,,company,string
address,,restaurant,string
name,festival,festival,string
menu,,restaurant,string
method,treatment,medical,string
type,membership,membership,string
id,microchip,pet,string
director,,movie,string
name,middle,person,string
name,university,education,string
date,transaction,payment,string
manufacturer,,product,string
fee,,membership,string
title,movie,film,string
manufacturer,,device,string
number,serial,product,string
number,flight,flight,string
country,,city,string
name,library,library,string
artist,,music,string
name,host,event,string
time,start,event schedule,time
time,release,podcast,time
time,feeding,pet schedule,time
time,curtain,theater play,time
time,closing,park schedule,time
time,opening,exhibition,time
time,opening,park schedule,time
time,moonrise,lunar research,time
time,launch,satellite launch,time
time,close,library schedule,time
time,departure,public transport,time
time,announcement,public service announcement,time
time,arrival,destination,time
time,landing,flight data,time
time,return,grocery shopping,time
time,arrival,public transport,time
time,return,fishing trip,time
time,departure,flight schedule,time
time,qualifying,track meet,time
time,restock,supermarket inventory,time
time,dosage,medication schedule,time
time,appointment,doctor appointment,time
time,closing,business hours,time
time,blast,quarry operation,time
duration,cooking,recipe,time
time,reservation,restaurant reservation,time
time,baking,culinary show,time
time,prep,cooking recipe,time
time,arrival,commute,time
time,open,library schedule,time
time,lunch,dining schedule,time
time,opening,business hours,time
time,call,emergency contact,time
time,departure,fishing trip,time
time,boarding,flight schedule,time
time,fermentation,beverage production,time
time,closing,exhibition,time
time,checkpoint,adventure race,time
duration,halftime,sports match,time
time,watering,watering schedule,time
time,checkout,hotel checkout,time
time,arrival,flight schedule,time
time,dinner,dining schedule,time
time,arrival,train schedule,time
time,watering,gardening schedule,time
time,reminder,phone reminder,time
time,broadcast,t v program,time
time,end,event schedule,time
time,landing,drone flight,time
time,cook,cooking recipe,time
time,departure,commute,time
time,reservation,golf tee time,time
time,departure,train schedule,time
time,execution,data backup plan,time
name,product,product,string
category,,product,enumeration
price,,product,float
name,employee,employee,string
role,,employee,enumeration
salary,,employee,float
make,,vehicle,string
model,,vehicle,string
year,,vehicle,integer
type,fuel,vehicle,enumeration
status,,order,enumeration
quantity,,order,integer
price,total,order,float
date,transaction,transaction,date
date,registration,user,date
date,order,order,date
date,hire,employee,date
date,payment,payment,date
date,event,event,date
date,manufacture,product,date
date,expiry,product,date
date,meeting,meeting,date
date,reservation,reservation,date
date,visit,visit,date
date,claim,claim,date
time,start,event,time
time,end,event,time
time,arrival,schedule,time
time,departure,schedule,time
time,meeting,meeting,time
time,conclusion,meeting,time
time,takeoff,flight,time
time,landing,flight,time
time,reservation,restaurant reservation,time
time,seating,restaurant reservation,time
time,activation,thermostat,time
time,deactivation,thermostat,time
time,alarm,alarm,time
age,,demographic,integer
height,,physical,integer
weight,,physical,integer
income,,financial,integer
size,shoe,physical,integer
number,house,address,integer
code,zip,address,integer
owned,vehicles,demographic,integer
score,credit,financial,integer
expenses,monthly,financial,integer
count,sibling,demographic,integer
name,customer,customer,string
email,customer,customer,string
number,contact,customer,string
name,product,product,string
description,product,product,string
id,order,order,string
status,order,order,string
name,supplier,supplier,string
address,supplier,supplier,string
number,invoice,invoice,string
status,invoice,invoice,string
username,,user,string
password,,user,string
name,category,category,string
description,category,category,string
id,transaction,transaction,string
type,transaction,transaction,string
id,employee,employee,string
name,employee,employee,string
comments,feedback,feedback,string
date,disbursement,loan,date
date,tagging,marine mammal research,date
date,maturity,loan,date
date,expiry,certification,date
date,start,subscription,date
date,evaluation,evaluation,date
date,conference,astronomy conferences,date
date,funding,fund,date
date,departure,transport,date
date,acquisition,acquisition,date
date,appointment,appointment,date
date,issuance,policy,date
date,effective,contract,date
date,arrival,transport,date
date,completion,training,date
date,due,bill,date
deadline,,project,date
date,commencement,commencement,date
date,maintenance,maintenance,date
date,workshop,workshop,date
date,consultation,consultation,date
date,expiration,contract,date
date,acquisition,contemporary art acquisitions,date
date,checkup,checkup,date
date,award,grant,date
date,interview,anthropology field notes,date
date,purchase,vehicle,date
date,event,ceremonial gatherings,date
date,harvest,harvest,date
date,realization,realization,date
since,customer,customer,date
date,completion,task,date
date,surgery,surgery,date
date,session,session,date
date,review,review,date
date,booking,booking,date
date,check,check,date
date,billing,billing,date
date,auction,auction,date
date,delivery,delivery,date
date,repair,repair,date
date,dispatch,dispatch,date
date,expiration,warranty,date
date,activation,activation,date
date,conference,conference,date
date,issue,certification,date
date,diagnosis,diagnosis,date
date,opening,opening,date
date,parade,festival schedules,date
date,launch,campaign,date
date,competition,robotics contests,date
date,notification,notification,date
date,deployment,deployment,date
date,ranking,ranking,date
date,record,records,date
date,collection,collection,date
date,engagement,engagement,date
date,solicitation,solicitation,date
date,invoice,invoice,date
date,shipment,shipment,date
date,defense,thesis defenses,date
date,appraisal,gemstone evaluations,date
date,launch,launch,date
date,renewal,renewal,date
date,inauguration,inauguration,date
date,join,membership,date
date,verification,verification,date
date,issue,license,date
date,submission,application,date
date,end,subscription,date
date,exhibition,exhibit,date
date,launch,product,date
date,allocation,allocation,date
date,session,therapeutic session notes,date
date,return,return,date
date,analysis,analysis,date
date,donation,donation,date
date,agreement,agreement,date
date,renewal,subscription,date
date,release,product,date
date,expiration,expiration,date
date,claim,reimbursement,date
date,due,task,date
date,inspection,inspection,date
date,milestone,milestone,date
date,archive,archive,date
date,backup,backup,date
date,installation,renewable energy projects,date
date,recertification,certification,date
date,registration,registration,date
date,reassessment,reassessment,date
date,discovery,discovery,date
date,creation,document,date
date,manufacture,vehicle,date
date,approval,approval,date
date,release,release,date
date,publication,publication,date
date,promotion,promotion,date
date,listing,housing,date
date,enrollment,enrollment,date
date,audit,audit,date
date,exam,examination,date
date,completion,completion,date
date,settlement,settlement,date
date,graduation,graduation,date
date,cloning,cloning,date
date,recruitment,recruitment,date
date,incident,incident,date
date,statistics,statistics,date
date,forecast,forecast,date
date,recognition,recognition,date
date,certification,certification,date
date,birth,user,date
date,shipping,shipping,date
date,decommission,decommission,date
date,affiliation,affiliation,date
date,survey,survey,date
date,approval,pharmaceutical approvals,date
date,installation,installation,date
date,closure,closure,date
date,release,scientific software updates,date
pattern,weather,season,enumeration
type,ontology,philosophical schools,enumeration
type,connection,network connection,enumeration
country,,location,enumeration
type,institution,education,enumeration
status,animal,wildlife conservation,enumeration
type,zoning,urban planning,enumeration
industry,,job,enumeration
type,hobby,hobby,enumeration
type,phone,phone,enumeration
type,fabric,textile industry,enumeration
gender,,person,enumeration
type,train,railway,enumeration
level,career,career,enumeration
level,privacy,social media post,enumeration
format,meme,meme culture,enumeration
type,activity,cultural activity,enumeration
design,wing,aerospace engineering,enumeration
item,sacred,mythology,enumeration
type,front,meteorology,enumeration
type,connection,communication,enumeration
difficulty,,game,enumeration
type,climate,season,enumeration
type,service,property maintenance,enumeration
state,quantum,quantum physics,enumeration
type,seat,seating arrangement,enumeration
genre,,book,enumeration
level,degree,education,enumeration
type,cuisine,gourmet cooking,enumeration
level,grade,school,enumeration
type,role,volunteer role,enumeration
type,form,government form,enumeration
form,art,art,enumeration
category,product,retail product,enumeration
type,currency,numismatics,enumeration
found,era,paleontology,enumeration
level,priority,service,enumeration
format,compression,media file,enumeration
method,payment,e commerce,enumeration
type,theory,theoretical physics,enumeration
urgency,task,operational task,enumeration
size,,fashion,enumeration
method,training,training,enumeration
type,artifact,archaeology,enumeration
type,habitat,wildlife conservation,enumeration
result,test,medical test,enumeration
type,cipher,cryptography,enumeration
field,research,quantum physics,enumeration
type,os,computer,enumeration
genre,game,game,enumeration
type,game,game,enumeration
service,delivery,delivery,enumeration
method,calculation,actuarial science,enumeration
system,propulsion,marine engineering,enumeration
state,energy,theoretical physics,enumeration
material,building,urban planning,enumeration
denomination,,religious,enumeration
formation,cloud,meteorology,enumeration
type,diet,animal,enumeration
language,,communication,enumeration
level,difficulty,lesson,enumeration
info,allergen,food item,enumeration
type,support,service,enumeration
method,cooking,cuisine,enumeration
group,age,toy,enumeration
medium,,art,enumeration
requirement,light,plant,enumeration
family,dinosaur,paleontology,enumeration
type,risk,actuarial science,enumeration
mode,player,game,enumeration
capacity,passenger,transport,enumeration
type,signal,communication,enumeration
type,tool,tool,enumeration
type,db,database,enumeration
type,policy,actuarial science,enumeration
type,listing,housing listing,enumeration
method,irrigation,agriculture,enumeration
type,design,graphic design,enumeration
type,habitat,ichthyology,enumeration
region,,news article,enumeration
city,,location,enumeration
type,provider,healthcare provider,enumeration
type,allergy,health,enumeration
system,operating,device,enumeration
type,pet,pets,enumeration
composition,mineral,geology,enumeration
style,,furniture,enumeration
process,aging,viticulture,enumeration
type,policy,insurance,enumeration
theme,meme,meme culture,enumeration
type,cuisine,recipe,enumeration
carrier,shipping,e commerce,enumeration
platform,,game,enumeration
brand,,product,enumeration
type,beverage,beverage,enumeration
type,store,retail store,enumeration
category,activity,festival activity,enumeration
type,fuel,vehicle,enumeration
terrain,,landform,enumeration
type,scholarship,education,enumeration
religion,,religious,enumeration
era,minting,numismatics,enumeration
type,species,marine biology,enumeration
style,art,art piece,enumeration
type,restriction,dietary plan,enumeration
tradition,folk,ethnomusicology,enumeration
equipment,,hobby,enumeration
type,garden,garden,enumeration
type,element,web page element,enumeration
type,fuel,space mission,enumeration
type,transaction,retail transaction,enumeration
type,patent,intellectual property,enumeration
status,,device,enumeration
type,plant,landscape architecture,enumeration
type,commuter,commuter service,enumeration
system,writing,ancient civilization,enumeration
type,transaction,finance,enumeration
protocol,auth,digital security,enumeration
origin,meme,meme culture,enumeration
region,currency,currency,enumeration
type,media,communication,enumeration
type,account,finance,enumeration
type,event,astronomy event,enumeration
type,instrument,musical instrument,enumeration
algorithm,control,robotics,enumeration
type,meal,meal,enumeration
style,argument,philosophical schools,enumeration
season,,weather,enumeration
material,,furniture,enumeration
type,land,land,enumeration
variety,grape,viticulture,enumeration
size,,clothing,enumeration
type,hull,marine engineering,enumeration
category,product,product,enumeration
type,blood,patient,enumeration
structure,wing,entomology,enumeration
zone,water,marine biology,enumeration
type,cuisine,cuisine,enumeration
type,animal,pet,enumeration
method,analysis,forensic science,enumeration
condition,book,library book,enumeration
type,evidence,forensic science,enumeration
type,device,device,enumeration
type,weather,weather,enumeration
level,access,service,enumeration
type,shell,marine biology,enumeration
method,cooking,gourmet cooking,enumeration
type,reaction,nuclear physics,enumeration
material,,fashion,enumeration
type,dye,textile industry,enumeration
type,shipping,parcel,enumeration
diet,,animal,enumeration
era,,fashion,enumeration
class,star,astrophysics,enumeration
size,audience,event,enumeration
type,currency,payment,enumeration
type,package,travel package,enumeration
type,employment,job,enumeration
type,luminosity,astrophysics,enumeration
structure,political,ancient civilization,enumeration
type,storm,meteorology,enumeration
genre,game,video game,enumeration
type,insect,entomology,enumeration
model,license,software,enumeration
type,servo,robotics,enumeration
category,protection,wildlife conservation,enumeration
type,crop,agriculture,enumeration
type,case,forensic science,enumeration
type,game,sports game,enumeration
language,,programming task,enumeration
type,season,season,enumeration
dimension,,theoretical physics,enumeration
period,historical,art,enumeration
transmission,,vehicle,enumeration
type,procedure,healthcare procedure,enumeration
medium,,painting,enumeration
pattern,color,fashion,enumeration
process,formation,geology,enumeration
type,myth,mythology,enumeration
color,,fruit,enumeration
type,fixture,lighting fixture,enumeration
type,plan,subscription,enumeration
type,battery,robotics,enumeration
species,,animal,enumeration
status,order,order,enumeration
class,energy,appliance,enumeration
type,household,household,enumeration
brand,,gadget,enumeration
class,seat,flight,enumeration
type,landform,landform,enumeration
type,scale,ethnomusicology,enumeration
taste,,fruit,enumeration
type,case,legal case,enumeration
type,furniture,furniture,enumeration
type,fossil,paleontology,enumeration
type,vehicle,transportation,enumeration
type,fuel,aerospace engineering,enumeration
spiciness,dish,gourmet cooking,enumeration
cover,cloud,weather report,enumeration
level,satisfaction,survey response,enumeration
belief,religious,ancient civilization,enumeration
pattern,weave,textile industry,enumeration
type,software,software,enumeration
structure,fin,ichthyology,enumeration
tariff,,electricity provider,enumeration
currency,,finance,enumeration
type,club,hobby,enumeration
type,chain,supply chain,enumeration
mode,transport,transport,enumeration
type,fashion,fashion,enumeration
type,festival,festival,enumeration
style,design,landscape architecture,enumeration
type,material,print material,enumeration
category,instrument,ethnomusicology,enumeration
standard,encryption,digital security,enumeration
type,event,event,enumeration
type,energy,transport,enumeration
level,access,application,enumeration
status,vessel,space mission,enumeration
habitat,,animal,enumeration
era,,archaeology,enumeration
type,firewall,digital security,enumeration
type,radiation,nuclear physics,enumeration
mode,color,image,enumeration
material,coin,numismatics,enumeration
tradition,philosophical,philosophical schools,enumeration
type,venue,event,enumeration
type,building,building,enumeration
type,network,communication,enumeration
quadrant,galactic,astrophysics,enumeration
type,skill,hobby,enumeration
type,account,account,enumeration
texture,soil,agriculture,enumeration
type,fuel,nuclear physics,enumeration
size,pet,pets,enumeration
segment,customer,e commerce,enumeration
entity,divine,mythology,enumeration
type,subscription,service,enumeration
genre,,entertainment,enumeration
size,screen,gadget,enumeration
type,license,software,enumeration
type,scale,ichthyology,enumeration
type,wine,viticulture,enumeration
type,crypto,cryptocurrency,enumeration
type,exam,exam,enumeration
type,content,digital content,enumeration
type,blood,health,enumeration
level,spice,cuisine,enumeration
stage,mission,space mission,enumeration
function,job,job,enumeration
method,payment,transaction,enumeration
ecosystem,,landform,enumeration
format,,entertainment,enumeration
