concept,qualifier,context,type
joining,,organization,date
class,passport,university,string
ID,marriage,university,integer
class,,shape,string
number,employment,university,integer
area,ID,university,string
grade,termination,product,string
manager_status,marriage,shape,boolean
height,product,shape,float
level,employee,store,string
level,employee,customer,string
month,order,user,
level,address,user,string
status,employment,product,string
progress,passport,customer,string
ID,passport,shape,integer
joining,geographical,employee,date
email,address,bank,string
progress,termination,store,string
class,address,customer,string
anniversary,user,location,date
time,user,customer,string
employee_number,employment,shape,integer
anniversary,employee,employee,date
grade,termination,organization,string
day,,shape,
ID,social,government,integer
level,social,government,enumeration
employment,user,bank,boolean
city,address,shape,string
termination,employee,school,date
grade,postal,government,enumeration
progress,anniversary,university,string
gender,geographical,organization,string
month,postal,university,
number,ID,location,integer
marriage,customer,bank,date
number,ID,location,integer
name,termination,location,string
birth,manager,government,
city,product,shape,string
name,social,user,string
phone,anniversary,government,string
manager_status,order,store,boolean
month,order,customer,
salary,customer,user,float
class,manager,shape,string
time,customer,store,string
time,manager,location,string
email,employee,employee,string
ID,social,product,integer
country,product,bank,string
level,passport,shape,string
year,manager,employee,
weight,,organization,float
exit,employment,location,
zip,postal,university,integer
zip,customer,customer,integer
date,manager,employee,date
height,work,product,float
marriage,geographical,shape,date
employee_number,address,university,integer
passport,geographical,government,string
termination,anniversary,product,date
phone,employee,organization,string
phone,,product,string
date,passport,product,date
salary,product,organization,float
day,user,government,
year,ID,organization,
class,,university,string
class,social,university,string
salary,social,bank,float
phone,order,user,string
date,manager,shape,date
exit,postal,store,
area,termination,employee,string
phone,employment,product,string
progress,,bank,string
zip,anniversary,user,integer
city,user,university,string
day,marriage,location,
marriage,order,bank,date
phone,order,school,string
day,user,organization,
gender,customer,product,string
joining,geographical,organization,date
termination,employment,product,date
employee_number,geographical,university,integer
termination,postal,user,date
termination,customer,customer,date
level,geographical,product,string
day,anniversary,shape,
weight,termination,bank,float
gender,employee,government,string
employee_number,customer,store,integer
termination,manager,school,date
gender,order,school,string
employment,ID,employee,boolean
joining,passport,product,date
status,social,school,string
height,passport,store,float
employment,address,organization,boolean
exit,user,shape,
passport,postal,university,string
phone,,school,string
date,customer,government,date
time,manager,bank,string
anniversary,employment,user,date
passport,postal,shape,string
zip,employee,product,integer
height,marriage,employee,float
country,product,product,string
year,marriage,school,
marriage,work,organization,date
birth,geographical,customer,
salary,manager,location,float
city,anniversary,product,string
ID,postal,user,integer
gender,employee,government,string
passport,postal,bank,string
exit,employment,employee,
termination,customer,university,date
year,product,location,
birth,postal,bank,
progress,employment,shape,string
date,anniversary,product,date
class,social,customer,string
salary,anniversary,university,float
birth,passport,bank,
passport,work,bank,string
year,social,customer,
phone,geographical,location,string
name,user,bank,string
day,employee,university,
passport,postal,user,string
employee_number,termination,bank,integer
date,marriage,bank,date
day,work,product,
month,employee,bank,
class,manager,organization,string
gender,address,university,string
day,,product,
gender,termination,employee,string
level,passport,bank,string
status,,shape,string
area,employment,customer,string
status,work,store,string
zip,anniversary,customer,integer
salary,social,organization,float
marriage,anniversary,store,date
marriage,passport,government,date
employee_number,,shape,integer
month,manager,shape,
ID,customer,store,integer
passport,work,university,string
country,user,location,enumeration
date,user,user,date
joining,product,university,date
class,passport,product,string
phone,geographical,bank,string
employment,customer,organization,boolean
time,customer,customer,string
area,social,employee,string
passport,order,organization,string
anniversary,employment,government,date
joining,social,school,date
manager_status,postal,bank,boolean
height,marriage,organization,float
date,marriage,store,date
day,user,university,
anniversary,termination,government,date
area,,location,string
class,termination,university,string
year,ID,government,
zip,work,product,integer
class,anniversary,university,string
joining,marriage,customer,date
birth,employment,product,
city,employment,university,string
grade,address,user,string
year,employee,bank,
day,product,employee,
termination,ID,product,date
month,postal,bank,
class,user,employee,string
weight,employee,employee,float
employment,social,employee,boolean
phone,address,user,string
area,termination,customer,string
level,customer,school,string
employment,social,product,boolean
exit,customer,organization,
day,employee,bank,
status,anniversary,university,string
level,address,government,enumeration
exit,,organization,
passport,termination,employee,string
passport,marriage,employee,string
name,order,customer,string
salary,social,shape,float
class,product,product,string
birth,employment,shape,
email,customer,organization,string
level,customer,user,string
email,manager,university,string
salary,postal,bank,float
marriage,passport,product,date
level,marriage,school,string
weight,manager,location,float
day,anniversary,product,
salary,order,store,float
manager_status,termination,location,boolean
area,ID,school,string
class,anniversary,user,string
date,manager,location,date
year,product,school,
phone,social,bank,string
level,work,product,string
anniversary,employee,employee,date
class,geographical,location,enumeration
anniversary,,university,date
level,address,university,string
status,anniversary,store,string
zip,anniversary,university,integer
time,passport,employee,string
status,customer,customer,string
year,employment,employee,
email,customer,employee,string
month,geographical,employee,
city,geographical,organization,string
number,termination,shape,integer
employment,passport,store,boolean
passport,geographical,bank,string
grade,customer,organization,string
month,customer,university,
termination,order,product,date
birth,geographical,user,
height,termination,customer,float
weight,anniversary,shape,float
salary,passport,school,float
number,social,user,integer
day,ID,product,
status,postal,user,string
class,ID,user,string
number,anniversary,store,integer
country,employment,customer,string
anniversary,order,government,date
joining,social,product,date
date,work,location,date
passport,termination,school,string
weight,employee,location,float
email,employment,location,string
area,anniversary,employee,string
marriage,product,shape,date
city,marriage,school,string
city,anniversary,university,string
time,ID,university,string
employment,manager,school,boolean
status,work,organization,string
name,user,shape,string
number,postal,government,integer
manager_status,social,shape,boolean
phone,manager,store,string
gender,order,employee,string
passport,geographical,university,string
termination,geographical,store,date
manager_status,product,bank,boolean
country,employee,university,string
weight,order,organization,float
height,geographical,government,float
marriage,customer,shape,date
name,termination,product,string
class,ID,user,string
gender,,university,string
ID,social,employee,integer
phone,customer,school,string
status,passport,store,string
employee_number,postal,employee,integer
time,employee,store,string
birth,termination,user,
month,,school,
city,social,customer,string
employment,marriage,store,boolean
phone,marriage,school,string
month,termination,employee,
date,ID,bank,date
year,employee,customer,
birth,marriage,employee,
status,work,employee,string
progress,product,product,string
country,,location,enumeration
passport,address,government,string
termination,product,shape,date
height,postal,store,float
email,employment,government,string
country,,user,string
class,ID,employee,string
day,ID,user,
level,work,university,string
city,passport,product,string
weight,employee,organization,float
status,anniversary,user,string
gender,customer,shape,string
year,customer,user,
class,employee,location,enumeration
status,social,customer,string
year,termination,university,
employment,employee,product,boolean
class,passport,product,string
joining,postal,store,date
height,anniversary,location,float
grade,marriage,employee,string
level,user,location,enumeration
exit,social,bank,
birth,termination,employee,
height,employment,organization,float
gender,employee,product,string
anniversary,manager,location,date
time,anniversary,customer,string
employment,address,product,boolean
date,manager,organization,date
marriage,passport,user,date
email,postal,location,string
status,product,product,string
passport,social,university,string
country,employment,government,enumeration
date,geographical,user,date
name,passport,school,string
number,employment,bank,integer
grade,postal,university,string
city,manager,university,string
phone,,organization,string
month,employment,government,
anniversary,marriage,customer,date
class,termination,organization,string
zip,user,government,integer
weight,passport,product,float
exit,employment,location,
country,geographical,bank,string
ID,user,user,integer
anniversary,ID,university,date
joining,user,customer,date
employment,user,organization,boolean
passport,manager,bank,string
time,product,user,string
grade,address,bank,string
time,manager,university,string
zip,customer,location,integer
number,address,store,integer
termination,order,customer,date
gender,marriage,government,string
zip,order,school,integer
date,address,customer,date
month,manager,product,
day,customer,product,
zip,work,government,integer
year,address,organization,
grade,geographical,location,enumeration
level,employment,government,enumeration
termination,customer,location,date
city,employee,bank,string
termination,anniversary,customer,date
country,user,customer,string
status,postal,university,string
date,social,customer,date
area,termination,bank,string
zip,,store,integer
country,user,university,string
termination,user,location,date
zip,social,employee,integer
exit,geographical,government,
gender,employment,user,string
country,passport,location,enumeration
employment,user,bank,boolean
month,marriage,location,
zip,work,user,integer
height,postal,bank,float
zip,,customer,integer
gender,user,location,string
phone,user,government,string
phone,order,organization,string
status,social,customer,string
number,address,customer,integer
email,geographical,product,string
level,employee,employee,string
marriage,termination,organization,date
progress,employee,shape,string
gender,,organization,string
weight,product,employee,float
height,work,store,float
class,user,school,string
class,customer,product,string
birth,termination,product,
date,social,user,date
city,postal,employee,string
employment,termination,school,boolean
country,postal,university,string
country,employment,customer,string
phone,,shape,string
exit,product,employee,
day,,government,
manager_status,ID,shape,boolean
name,employment,university,string
number,anniversary,bank,integer
grade,termination,government,enumeration
weight,customer,store,float
weight,marriage,bank,float
anniversary,customer,government,date
termination,employment,shape,date
year,social,government,
progress,address,shape,string
level,postal,user,string
class,social,store,string
date,,product,date
progress,,product,string
phone,customer,bank,string
area,manager,location,string
status,,university,string
status,marriage,government,enumeration
phone,termination,shape,string
level,anniversary,university,string
weight,product,store,float
city,user,school,string
level,manager,organization,string
email,social,government,string
day,postal,employee,
time,work,product,string
name,postal,customer,string
number,work,location,integer
grade,ID,user,string
passport,customer,shape,string
level,marriage,shape,string
month,geographical,organization,
joining,employment,organization,date
exit,termination,location,
weight,anniversary,government,float
passport,employment,bank,string
year,work,organization,
time,order,school,string
number,marriage,organization,integer
termination,anniversary,employee,date
name,employee,store,string
progress,passport,school,string
zip,user,bank,integer
date,marriage,employee,date
ID,ID,employee,integer
number,anniversary,store,integer
date,employee,store,date
employment,order,location,boolean
year,marriage,organization,
class,address,university,string
country,postal,school,string
day,manager,user,
exit,employment,university,
day,address,customer,
class,order,user,string
ID,address,government,integer
height,,bank,float
termination,marriage,location,date
height,address,university,float
ID,manager,organization,integer
name,postal,bank,string
termination,employment,employee,date
weight,employment,school,float
number,social,customer,integer
number,passport,location,integer
weight,customer,employee,float
employment,geographical,bank,boolean
year,,school,
status,address,customer,string
birth,anniversary,employee,
number,work,customer,integer
month,employee,bank,
time,user,organization,string
grade,social,product,string
gender,employment,product,string
grade,employment,shape,string
date,ID,government,date
joining,passport,product,date
joining,social,government,date
email,product,employee,string
phone,social,employee,string
gender,geographical,government,string
employment,product,university,boolean
joining,customer,organization,date
termination,passport,government,date
status,address,government,enumeration
date,marriage,product,date
employment,ID,school,boolean
weight,user,employee,float
anniversary,postal,customer,date
email,ID,school,string
progress,marriage,employee,string
salary,social,government,float
email,marriage,location,string
height,product,shape,float
ID,social,employee,integer
salary,marriage,shape,float
zip,postal,product,integer
joining,order,user,date
country,anniversary,organization,string
status,ID,government,enumeration
city,customer,store,string
date,passport,customer,date
passport,customer,university,string
time,customer,customer,string
email,termination,school,string
progress,employee,shape,string
city,termination,school,string
marriage,passport,location,date
gender,employee,user,string
email,customer,customer,string
exit,customer,customer,
weight,customer,location,float
name,order,government,string
anniversary,,employee,date
year,passport,shape,
class,termination,shape,string
employee_number,postal,organization,integer
month,ID,organization,
grade,ID,organization,string
day,employee,shape,
status,employment,employee,string
class,product,government,enumeration
joining,anniversary,user,date
country,anniversary,user,string
gender,marriage,location,string
manager_status,ID,bank,boolean
city,anniversary,store,string
city,geographical,university,string
status,product,employee,string
anniversary,ID,bank,date
grade,marriage,school,string
height,anniversary,organization,float
manager_status,postal,school,boolean
employment,anniversary,user,boolean
day,termination,university,
status,postal,bank,string
area,ID,customer,string
phone,passport,government,string
name,work,university,string
name,product,shape,string
date,,university,date
termination,user,product,date
progress,postal,store,string
salary,,product,float
joining,social,store,date
status,user,product,string
employee_number,marriage,location,integer
time,geographical,shape,string
height,employment,product,float
birth,order,bank,
number,ID,school,integer
weight,address,government,float
name,address,location,string
employee_number,,university,integer
phone,,user,string
birth,anniversary,shape,
gender,employment,store,string
day,user,product,
city,employment,bank,string
height,manager,bank,float
phone,address,customer,string
year,social,product,
time,postal,school,string
time,social,organization,string
passport,customer,location,string
anniversary,passport,user,date
gender,manager,school,string
grade,,bank,string
passport,,product,string
phone,social,organization,string
joining,,university,date
country,employee,bank,string
progress,user,location,enumeration
ID,anniversary,government,integer
exit,geographical,government,
manager_status,manager,product,boolean
level,employment,bank,string
phone,postal,location,string
birth,geographical,store,
ID,social,shape,integer
level,social,organization,string
grade,work,employee,string
city,customer,store,string
manager_status,work,bank,boolean
class,work,school,string
class,employee,university,string
height,order,customer,float
phone,postal,school,string
name,address,government,string
status,employee,customer,string
day,customer,shape,
ID,address,shape,integer
height,anniversary,organization,float
exit,order,organization,
joining,passport,user,date
level,address,store,string
day,work,shape,
termination,order,government,date
class,marriage,organization,string
number,termination,product,integer
status,address,bank,string
birth,order,government,
exit,marriage,bank,
termination,address,school,date
time,user,user,string
height,product,product,float
weight,social,product,float
class,postal,product,string
height,employee,university,float
status,employment,university,string
birth,passport,location,
exit,anniversary,store,
date,ID,university,date
weight,termination,organization,float
passport,geographical,government,string
exit,employment,university,
termination,customer,customer,date
year,postal,user,
manager_status,marriage,university,boolean
passport,order,store,string
height,social,university,float
employment,employee,organization,boolean
day,postal,product,
grade,employee,product,string
anniversary,passport,shape,date
time,address,employee,string
height,,bank,float
exit,customer,organization,
zip,manager,university,integer
time,ID,organization,string
joining,postal,school,date
status,passport,store,string
phone,address,organization,string
area,ID,product,string
country,termination,bank,string
number,marriage,organization,integer
exit,work,location,
exit,marriage,school,
employment,passport,employee,boolean
manager_status,geographical,product,boolean
number,user,shape,integer
termination,geographical,store,date
city,social,government,string
birth,order,shape,
ID,employee,university,integer
employee_number,user,bank,integer
marriage,address,location,date
manager_status,order,location,boolean
level,order,organization,string
progress,,government,enumeration
level,social,employee,string
city,address,store,string
salary,address,government,float
class,marriage,store,string
marriage,employment,user,date
weight,employee,location,float
email,employment,location,string
day,employment,university,
gender,termination,customer,string
gender,user,store,string
termination,social,store,date
number,work,shape,integer
year,employment,user,
area,address,organization,string
gender,user,school,string
area,product,university,string
city,manager,school,string
name,order,school,string
month,manager,product,
name,ID,employee,string
anniversary,ID,location,date
ID,product,government,integer
number,geographical,employee,integer
birth,order,store,
country,manager,customer,string
name,customer,government,string
email,social,school,string
grade,customer,school,string
country,order,location,enumeration
zip,work,organization,integer
phone,anniversary,government,string
gender,user,bank,string
employee_number,postal,shape,integer
height,marriage,organization,float
number,customer,government,integer
city,ID,shape,string
zip,product,university,integer
ID,customer,location,integer
manager_status,termination,shape,boolean
termination,customer,government,date
marriage,geographical,customer,date
email,order,customer,string
exit,,store,
marriage,anniversary,store,date
email,geographical,location,string
email,ID,employee,string
year,manager,employee,
ID,anniversary,customer,integer
employee_number,employee,employee,integer
city,user,government,string
number,order,customer,integer
grade,postal,shape,string
zip,work,location,integer
time,,university,string
progress,anniversary,store,string
name,termination,shape,string
exit,marriage,shape,
gender,manager,bank,string
ID,,school,integer
class,work,location,enumeration
termination,manager,customer,date
termination,work,product,date
month,postal,organization,
level,user,government,enumeration
employee_number,passport,bank,integer
exit,product,product,
grade,ID,customer,string
manager_status,termination,university,boolean
salary,marriage,school,float
salary,address,shape,float
number,work,organization,integer
date,product,employee,date
manager_status,geographical,organization,boolean
zip,passport,government,integer
status,user,school,string
day,work,school,
anniversary,geographical,employee,date
level,termination,shape,string
gender,,product,string
phone,,university,string
ID,address,shape,integer
grade,anniversary,government,enumeration
number,order,university,integer
joining,product,shape,date
weight,marriage,school,float
employee_number,address,user,integer
zip,address,bank,integer
joining,geographical,university,date
height,user,user,float
weight,customer,product,float
anniversary,user,store,date
employee_number,customer,product,integer
progress,work,customer,string
year,work,customer,
joining,passport,shape,date
manager_status,geographical,employee,boolean
level,passport,shape,string
exit,work,employee,
grade,social,store,string
day,employment,shape,
number,marriage,organization,integer
passport,geographical,product,string
birth,employee,government,
progress,anniversary,bank,string
status,ID,employee,string
height,termination,government,float
name,geographical,organization,string
termination,customer,customer,date
country,employee,shape,string
time,manager,location,string
phone,passport,product,string
joining,passport,government,date
anniversary,work,store,date
ID,,product,integer
termination,social,shape,date
passport,product,customer,string
weight,order,employee,float
exit,geographical,government,
grade,user,store,string
year,geographical,university,
progress,manager,shape,string
employment,employment,government,boolean
time,termination,school,string
month,work,store,
salary,address,organization,float
grade,geographical,user,string
class,termination,store,string
class,product,employee,string
ID,customer,bank,integer
employment,,bank,boolean
day,product,organization,
height,termination,store,float
exit,postal,store,
phone,customer,university,string
month,manager,university,
gender,geographical,location,string
country,address,location,enumeration
class,termination,user,string
date,ID,user,date
termination,manager,product,date
termination,postal,location,date
weight,ID,organization,float
exit,employee,customer,
status,employment,employee,string
joining,customer,school,date
zip,employment,location,integer
area,termination,store,string
ID,user,university,integer
joining,geographical,product,date
ID,,employee,integer
employee_number,employee,customer,integer
email,passport,user,string
marriage,postal,shape,date
country,manager,product,string
country,product,organization,string
height,product,university,float
level,employee,bank,string
employment,geographical,product,boolean
grade,termination,bank,string
country,order,user,string
day,work,shape,
number,employee,university,integer
area,employment,product,string
joining,social,store,date
city,termination,organization,string
status,termination,user,string
passport,,customer,string
class,passport,bank,string
status,ID,government,enumeration
name,user,school,string
class,anniversary,employee,string
ID,user,location,integer
salary,social,customer,float
salary,,organization,float
ID,employee,government,integer
day,,organization,
email,anniversary,bank,string
level,social,customer,string
exit,customer,user,
zip,customer,bank,integer
salary,termination,university,float
month,postal,university,
city,employee,school,string
exit,ID,employee,
weight,employee,shape,float
day,passport,location,
progress,passport,user,string
month,work,government,
year,product,location,
name,,school,string
date,customer,customer,date
status,termination,shape,string
marriage,geographical,organization,date
exit,work,product,
status,order,employee,string
weight,user,location,float
time,social,location,string
gender,employee,employee,string
passport,user,location,string
area,ID,government,string
manager_status,,product,boolean
manager_status,product,shape,boolean
month,work,bank,
employment,employee,customer,boolean
area,postal,product,string
weight,,employee,float
marriage,user,employee,date
marriage,geographical,product,date
ID,manager,organization,integer
area,order,school,string
country,employee,school,string
manager_status,employee,location,boolean
height,address,employee,float
number,termination,location,integer
employment,,university,boolean
grade,geographical,organization,string
month,order,location,
number,employment,university,integer
level,ID,user,string
phone,employment,store,string
city,manager,school,string
progress,product,shape,string
progress,employment,school,string
status,ID,bank,string
ID,customer,organization,integer
anniversary,customer,organization,date
grade,anniversary,employee,string
year,customer,location,
phone,ID,user,string
year,manager,bank,
country,anniversary,location,enumeration
birth,user,bank,
manager_status,customer,store,boolean
date,anniversary,store,date
height,termination,product,float
anniversary,termination,employee,date
manager_status,employee,employee,boolean
status,termination,school,string
level,,customer,string
exit,customer,school,
year,geographical,organization,
area,passport,organization,string
year,address,store,
month,passport,product,
salary,social,user,float
termination,postal,product,date
height,marriage,shape,float
ID,marriage,university,integer
number,order,university,integer
phone,product,location,string
employee_number,product,employee,integer
status,termination,government,enumeration
height,product,employee,float
name,customer,government,string
day,marriage,store,
employee_number,manager,store,integer
year,postal,employee,
birth,address,university,
date,,shape,date
height,ID,store,float
employment,social,shape,boolean
time,order,school,string
anniversary,employment,school,date
manager_status,geographical,user,boolean
class,,government,enumeration
birth,,government,
passport,manager,government,string
level,order,school,string
joining,customer,employee,date
zip,product,customer,integer
salary,employment,school,float
ID,employment,university,integer
employee_number,postal,organization,integer
gender,address,location,string
city,social,customer,string
gender,ID,store,string
passport,order,employee,string
progress,order,employee,string
number,postal,location,integer
employment,work,government,boolean
exit,ID,university,
height,ID,product,float
ID,,government,integer
height,postal,government,float
employee_number,order,organization,integer
status,ID,organization,string
passport,employment,shape,string
marriage,postal,bank,date
phone,manager,store,string
year,user,bank,
weight,employment,store,float
height,customer,school,float
month,geographical,store,
joining,manager,government,date
termination,employee,product,date
grade,passport,location,enumeration
joining,termination,government,date
year,anniversary,university,
passport,,user,string
phone,product,location,string
progress,anniversary,bank,string
exit,product,store,
marriage,termination,customer,date
email,,shape,string
number,geographical,shape,integer
ID,employment,school,integer
number,marriage,government,integer
gender,ID,location,string
manager_status,employment,university,boolean
gender,ID,customer,string
name,employment,school,string
exit,manager,employee,
date,address,school,date
day,social,employee,
level,work,store,string
progress,social,bank,string
level,passport,university,string
country,passport,employee,string
salary,product,organization,float
status,employment,university,string
status,user,government,enumeration
class,ID,government,enumeration
day,social,school,
email,employee,product,string
number,customer,bank,integer
time,social,employee,string
level,marriage,government,enumeration
time,passport,user,string
progress,marriage,user,string
city,manager,employee,string
ID,social,product,integer
salary,product,bank,float
country,,user,string
time,customer,government,string
name,,bank,string
manager_status,ID,employee,boolean
month,geographical,university,
progress,,bank,string
area,,government,string
city,customer,university,string
date,postal,customer,date
date,,school,date
gender,marriage,shape,string
time,passport,customer,string
year,social,university,
zip,address,store,integer
exit,address,shape,
joining,employment,school,date
progress,anniversary,location,enumeration
date,employee,customer,date
time,geographical,government,string
joining,address,bank,date
phone,,bank,string
name,,shape,string
name,employee,shape,string
year,termination,shape,
date,anniversary,employee,date
grade,user,government,enumeration
salary,employment,product,float
height,ID,shape,float
birth,manager,user,
name,work,school,string
exit,product,shape,
level,passport,user,string
progress,,employee,string
phone,customer,user,string
birth,manager,location,
height,work,location,float
class,marriage,user,string
weight,user,store,float
year,anniversary,government,
termination,geographical,employee,date
area,social,bank,string
area,customer,user,string
year,address,product,
birth,social,university,
class,employee,organization,string
zip,product,school,integer
phone,passport,product,string
grade,geographical,school,string
date,employment,government,date
anniversary,work,shape,date
progress,employee,organization,string
number,employee,bank,integer
termination,employee,store,date
status,geographical,store,string
time,anniversary,employee,string
phone,employment,location,string
anniversary,termination,store,date
name,address,store,string
city,order,store,string
day,marriage,store,
time,anniversary,store,string
progress,anniversary,store,string
day,product,shape,
day,address,location,
phone,user,store,string
city,manager,bank,string
grade,social,organization,string
grade,order,government,enumeration
birth,ID,product,
employee_number,employee,customer,integer
passport,customer,location,string
salary,passport,organization,float
area,order,store,string
class,marriage,user,string
date,anniversary,customer,date
city,order,location,string
level,geographical,store,string
phone,employee,employee,string
status,order,school,string
weight,anniversary,customer,float
birth,termination,store,
ID,ID,user,integer
grade,user,bank,string
gender,ID,university,string
month,ID,user,
time,social,bank,string
zip,termination,bank,integer
marriage,,organization,date
level,anniversary,school,string
class,termination,location,enumeration
class,address,store,string
number,,customer,integer
marriage,customer,shape,date
employee_number,,customer,integer
salary,customer,store,float
manager_status,user,school,boolean
country,customer,customer,string
exit,postal,bank,
height,order,store,float
manager_status,,customer,boolean
salary,,university,float
level,termination,product,string
exit,,university,
phone,order,store,string
month,manager,product,
class,address,customer,string
name,manager,organization,string
month,termination,product,
exit,work,government,
day,,organization,
email,employee,customer,string
anniversary,user,government,date
manager_status,customer,employee,boolean
passport,user,bank,string
name,product,product,string
grade,employee,shape,string
exit,manager,bank,
progress,ID,employee,string
country,work,store,string
ID,manager,bank,integer
passport,manager,shape,string
passport,ID,location,string
date,anniversary,product,date
city,user,user,string
exit,,store,
weight,manager,government,float
name,manager,bank,string
exit,postal,shape,
city,ID,product,string
year,order,government,
anniversary,geographical,shape,date
manager_status,social,university,boolean
manager_status,employment,location,boolean
phone,marriage,user,string
joining,marriage,user,date
termination,geographical,government,date
zip,product,organization,integer
employment,,school,boolean
zip,marriage,school,integer
phone,anniversary,product,string
day,customer,product,
progress,user,university,string
termination,employee,government,date
passport,anniversary,product,string
employment,product,government,boolean
termination,user,user,date
name,employment,school,string
birth,,organization,
time,,bank,string
marriage,social,store,date
passport,marriage,bank,string
ID,ID,bank,integer
termination,,shape,date
weight,work,organization,float
marriage,employment,employee,date
salary,employee,product,float
month,address,store,
date,manager,employee,date
employee_number,customer,customer,integer
phone,address,school,string
grade,anniversary,customer,string
email,ID,organization,string
level,employment,school,string
number,order,employee,integer
area,passport,government,string
zip,user,school,integer
city,marriage,university,string
marriage,employment,university,date
termination,geographical,store,date
joining,,organization,date
marriage,termination,product,date
number,termination,store,integer
employment,social,customer,boolean
weight,anniversary,product,float
height,employee,employee,float
birth,order,employee,
time,work,user,string
weight,customer,user,float
exit,order,university,
passport,address,store,string
employment,anniversary,organization,boolean
birth,address,customer,
status,social,employee,string
zip,address,bank,integer
birth,termination,location,
employment,employment,location,boolean
termination,marriage,customer,date
level,work,employee,string
birth,user,government,
email,marriage,university,string
gender,,bank,string
phone,employment,customer,string
employment,termination,location,boolean
ID,postal,product,integer
date,order,government,date
area,product,product,string
anniversary,,school,date
grade,employee,customer,string
zip,order,user,integer
grade,,user,string
termination,work,product,date
progress,customer,shape,string
date,termination,customer,date
progress,employee,organization,string
day,anniversary,organization,
joining,social,bank,date
salary,marriage,university,float
number,anniversary,employee,integer
year,anniversary,bank,
progress,address,school,string
salary,ID,customer,float
exit,ID,shape,
email,termination,organization,string
passport,product,product,string
birth,order,customer,
status,user,shape,string
birth,address,location,
joining,social,employee,date
year,postal,government,
date,employment,user,date
time,marriage,user,string
weight,manager,shape,float
area,,school,string
city,anniversary,customer,string
salary,address,bank,float
month,order,product,
marriage,termination,university,date
email,user,government,string
day,social,shape,
salary,anniversary,university,float
level,product,location,enumeration
year,address,location,
time,termination,shape,string
progress,social,shape,string
date,,location,date
time,anniversary,bank,string
date,termination,location,date
termination,passport,bank,date
date,geographical,university,date
email,anniversary,bank,string
gender,order,user,string
level,geographical,store,string
city,customer,user,string
passport,product,customer,string
anniversary,,employee,date
time,customer,shape,string
salary,social,school,float
country,address,organization,string
employment,termination,bank,boolean
manager_status,manager,store,boolean
passport,social,product,string
email,,school,string
progress,manager,customer,string
phone,anniversary,store,string
name,ID,employee,string
termination,anniversary,school,date
year,anniversary,school,
month,termination,user,
salary,customer,government,float
anniversary,termination,employee,date
level,marriage,organization,string
class,user,university,string
level,social,product,string
gender,marriage,store,string
month,geographical,customer,
status,user,shape,string
name,geographical,shape,string
phone,order,university,string
area,user,product,string
country,user,customer,string
termination,user,university,date
name,termination,bank,string
salary,passport,product,float
country,anniversary,customer,string
manager_status,address,store,boolean
manager_status,work,store,boolean
passport,work,customer,string
exit,customer,school,
salary,address,store,float
time,marriage,employee,string
class,order,employee,string
month,user,product,
status,marriage,school,string
anniversary,anniversary,location,date
phone,work,customer,string
progress,product,government,enumeration
country,postal,school,string
time,employee,university,string
year,order,location,
termination,customer,organization,date
status,work,location,enumeration
exit,passport,university,
date,marriage,customer,date
grade,termination,employee,string
manager_status,social,bank,boolean
employment,,customer,boolean
birth,anniversary,university,
height,passport,location,float
city,order,shape,string
employment,social,bank,boolean
height,postal,user,float
marriage,termination,customer,date
joining,address,university,date
gender,anniversary,organization,string
salary,manager,customer,float
joining,social,customer,date
termination,order,store,date
ID,manager,school,integer
city,postal,location,string
salary,employee,government,float
name,marriage,customer,string
time,postal,university,string
number,social,location,integer
exit,postal,shape,
country,ID,organization,string
passport,postal,organization,string
month,anniversary,customer,
status,postal,user,string
employment,order,location,boolean
country,product,shape,string
joining,order,employee,date
class,postal,school,string
email,order,store,string
anniversary,postal,product,date
status,ID,user,string
joining,manager,employee,date
level,anniversary,school,string
height,employee,product,float
ID,work,organization,integer
phone,order,employee,string
level,manager,user,string
area,work,school,string
day,user,user,
phone,product,user,string
status,,product,string
anniversary,geographical,school,date
name,geographical,shape,string
city,passport,organization,string
zip,order,customer,integer
name,employment,government,string
class,anniversary,bank,string
progress,product,customer,string
birth,passport,employee,
salary,passport,store,float
status,employment,school,string
class,ID,product,string
area,ID,shape,string
city,manager,store,string
date,work,product,date
termination,postal,shape,date
phone,postal,employee,string
birth,order,location,
name,marriage,user,string
phone,manager,bank,string
weight,geographical,employee,float
time,order,employee,string
grade,ID,government,enumeration
month,passport,customer,
class,geographical,store,string
day,postal,employee,
month,work,location,
manager_status,ID,employee,boolean
manager_status,employee,employee,boolean
birth,termination,store,
marriage,termination,product,date
employment,customer,store,boolean
class,marriage,customer,string
country,product,employee,string
passport,marriage,location,string
level,marriage,customer,string
birth,,university,
grade,geographical,organization,string
exit,product,organization,
weight,social,user,float
grade,social,product,string
marriage,social,bank,date
city,employee,shape,string
gender,manager,government,string
level,ID,location,enumeration
country,employment,organization,string
progress,employment,university,string
grade,,location,enumeration
ID,passport,customer,integer
manager_status,work,university,boolean
grade,geographical,location,enumeration
exit,ID,organization,
class,employee,shape,string
email,employment,school,string
passport,ID,government,string
joining,,government,date
gender,customer,location,string
level,manager,organization,string
employment,address,university,boolean
gender,manager,organization,string
exit,geographical,organization,
manager_status,social,employee,boolean
zip,employee,school,integer
salary,social,employee,float
country,manager,university,string
status,,school,string
height,order,organization,float
zip,manager,shape,integer
termination,order,university,date
anniversary,product,location,date
status,ID,store,string
day,employee,location,
